from_stop_id,to_stop_id
83296,83297
46463,46473
98023,98013
94487,95423
88929,99629
71826,79877
10203,99283
78116,78347
31233,31239
94516,97116
32257,32266
28993,29956
52646,52236
55649,55653
41657,41559
88777,89913
84859,84853
23929,23933
60027,61636
78883,89867
89867,81929
98547,98517
53113,53119
56127,47846
28696,28533
38629,21206
56213,56127
46936,56143
53976,54943
21193,22396
19397,99986
98249,99223
26697,26693
74587,75723
42329,42219
49529,39817
10023,10039
89719,89727
85597,85596
81929,91223
62787,91827
47226,36997
63876,63877
47947,56239
20016,20046
59417,49516
99396,91383
35979,35889
36527,36533
99656,99457
22386,22396
81226,81726
79877,91383
88586,88976
88887,98467
99219,10209
88483,21807
88497,78896
71823,57989
52183,52196
59516,69113
21757,21756
89313,89316
35976,36823
10203,99629
79877,71236
99396,81726
21007,57663
98029,98016
12177,92887
91139,99496
10209,98253
76753,76646
57553,57567
15887,15886
58119,58453
42219,10503
89489,78797
99899,99893
72397,72396
74797,75723
72457,72356
38797,38783
79823,98833
21997,21757
20407,20406
98527,98723
32257,42237
21607,98959
22407,29769
79126,81226
10013,10043
88586,99396
78393,78399
67696,67677
32256,32156
78549,79117
39723,39627
26733,26736
21667,21666
61636,60013
81226,71236
43979,53147
22106,59533
86969,96186
98023,98547
59736,59827
20087,99346
10209,99969
94656,94693
96877,96486
52369,52363
20027,20057
96823,95783
95386,95289
72396,72397
57523,56239
65976,65767
19433,19449
42219,42237
46489,46463
91216,91219
10209,99213
25723,25727
54299,54293
71237,79877
25479,25287
98547,98013
68923,67696
10019,10013
97673,96899
84439,84623
75337,75236
20057,20017
79477,81226
81226,91383
58453,11237
99223,98249
28533,28763
89826,99117
88987,88986
99629,99213
78883,88976
43447,43553
16949,16633
97117,97116
11367,11866
22563,10109
52197,52196
83343,83267
95383,95269
46253,46269
39329,39433
36436,36277
41189,41183
91223,99396
55426,55419
56143,56136
81226,99357
78897,81226
46489,46456
10043,10059
99586,99496
81226,89963
53147,43979
89867,99396
99283,99629
47549,47543
93296,93287
78399,78393
98527,98729
85927,95226
99157,81929
47823,46463
88887,88846
99396,88976
49517,39716
11473,11896
22207,49539
10059,10019
10209,99943
16717,16716
99969,10203
22346,22189
58473,58479
98033,98023
63973,63979
67193,67199
43979,53157
81226,89867
52237,52646
97773,17147
26789,26783
22506,19293
79977,79823
21193,31256
44249,45316
36827,36736
23627,23626
39726,39729
22206,49539
56489,57566
99353,91616
97676,97779
44679,44797
28779,28533
28989,28996
58277,58379
98963,10203
66167,66166
84439,84637
79977,81726
44566,44567
37747,37773
54933,54939
27946,27959
89983,99117
99929,99816
59636,59757
11249,19507
88586,78887
49986,49977
99496,91223
32253,32179
78896,78769
75833,76667
98029,98033
99157,88976
95213,95226
92229,88986
76743,76746
56239,66166
17829,16997
19449,19433
97523,97557
99213,99629
56729,55419
39627,39729
49599,49517
15886,15887
59196,59173
74853,74857
99157,99396
54293,54297
10033,10013
67696,68929
39163,39167
78116,78117
97773,98567
89867,71823
82589,82586
59416,49517
36586,36277
42329,31853
67776,67737
25317,25316
47546,47547
71566,71559
55653,55649
22773,22779
95383,95386
89963,79973
28389,28383
84439,84636
46269,46276
99929,99917
82167,82276
26526,26727
36277,36586
13249,13247
23753,23759
79257,71926
